Country,Year,Score,
Afghanistan,2015,3.575,
Afghanistan,2016,3.36,
Afghanistan,2017,3.79399991,
Afghanistan,2018,3.632,
Afghanistan,2019,3.203,
Afghanistan,2020,2.566900015,
Albania,2015,4.959,
Albania,2016,4.655,
Albania,2017,4.644000053,
Albania,2018,4.586,
Albania,2019,4.719,
Albania,2020,4.882699966,
Algeria,2015,5.605,
Algeria,2016,6.355,
Algeria,2017,5.872000217,
Algeria,2018,5.295,
Algeria,2019,5.211,
Algeria,2020,5.005099773,
Argentina,2015,6.574,
Argentina,2016,6.65,
Argentina,2017,6.598999977,
Argentina,2018,6.388,
Argentina,2019,6.086,
Argentina,2020,5.974699974,
Armenia,2015,4.35,
Armenia,2016,4.36,
Armenia,2017,4.375999928,
Armenia,2018,4.321,
Armenia,2019,4.559,
Armenia,2020,4.676799774,
Australia,2015,7.284,
Australia,2016,7.313,
Australia,2017,7.28399992,
Australia,2018,7.272,
Australia,2019,7.228,
Australia,2020,7.222799778,
Austria,2015,7.2,
Austria,2016,7.119,
Austria,2017,7.006000042,
Austria,2018,7.139,
Austria,2019,7.246,
Austria,2020,7.294199944,
Azerbaijan,2015,5.212,
Azerbaijan,2016,5.291,
Azerbaijan,2017,5.234000206,
Azerbaijan,2018,5.201,
Azerbaijan,2019,5.208,
Azerbaijan,2020,5.164800167,
Bahrain,2015,5.96,
Bahrain,2016,6.218,
Bahrain,2017,6.086999893,
Bahrain,2018,6.105,
Bahrain,2019,6.199,
Bahrain,2020,6.227300167,
Bangladesh,2015,4.694,
Bangladesh,2016,4.643,
Bangladesh,2017,4.607999802,
Bangladesh,2018,4.5,
Bangladesh,2019,4.456,
Bangladesh,2020,4.832799911,
Belarus,2015,5.813,
Belarus,2016,5.802,
Belarus,2017,5.568999767,
Belarus,2018,5.483,
Belarus,2019,5.323,
Belarus,2020,5.539899826,
Belgium,2015,6.937,
Belgium,2016,6.929,
Belgium,2017,6.890999794,
Belgium,2018,6.927,
Belgium,2019,6.923,
Belgium,2020,6.863500118,
Benin,2015,3.34,
Benin,2016,3.484,
Benin,2017,3.657000065,
Benin,2018,4.141,
Benin,2019,4.883,
Benin,2020,5.21600008,
Bolivia,2015,5.89,
Bolivia,2016,5.822,
Bolivia,2017,5.822999954,
Bolivia,2018,5.752,
Bolivia,2019,5.779,
Bolivia,2020,5.747499943,
Bosnia and Herzegovina,2015,4.949,
Bosnia and Herzegovina,2016,5.163,
Bosnia and Herzegovina,2017,5.18200016,
Bosnia and Herzegovina,2018,5.129,
Bosnia and Herzegovina,2019,5.386,
Bosnia and Herzegovina,2020,5.674099922,
Botswana,2015,4.332,
Botswana,2016,3.974,
Botswana,2017,3.766000032,
Botswana,2018,3.59,
Botswana,2019,3.488,
Botswana,2020,3.478899956,
Brazil,2015,6.983,
Brazil,2016,6.952,
Brazil,2017,6.635000229,
Brazil,2018,6.419,
Brazil,2019,6.3,
Brazil,2020,6.375599861,
Bulgaria,2015,4.218,
Bulgaria,2016,4.217,
Bulgaria,2017,4.714000225,
Bulgaria,2018,4.933,
Bulgaria,2019,5.011,
Bulgaria,2020,5.101500034,
Burkina Faso,2015,3.587,
Burkina Faso,2016,3.739,
Burkina Faso,2017,4.032000065,
Burkina Faso,2018,4.424,
Burkina Faso,2019,4.587,
Burkina Faso,2020,4.768700123,
Burundi,2015,2.905,
Burundi,2016,2.905,
Burundi,2017,2.904999971,
Burundi,2018,2.905,
Burundi,2019,3.775,
Burundi,2020,3.775300026,
Cambodia,2015,3.819,
Cambodia,2016,3.907,
Cambodia,2017,4.168000221,
Cambodia,2018,4.433,
Cambodia,2019,4.7,
Cambodia,2020,4.848400116,
Cameroon,2015,4.252,
Cameroon,2016,4.513,
Cameroon,2017,4.695000172,
Cameroon,2018,4.975,
Cameroon,2019,5.044,
Cameroon,2020,5.084899902,
Canada,2015,7.427,
Canada,2016,7.404,
Canada,2017,7.315999985,
Canada,2018,7.328,
Canada,2019,7.278,
Canada,2020,7.23210001,
Central African Republic,2015,3.678,
Central African Republic,2016,0,
Central African Republic,2017,2.693000078,
Central African Republic,2018,3.083,
Central African Republic,2019,3.083,
Central African Republic,2020,3.475899935,
Chad,2015,3.667,
Chad,2016,3.763,
Chad,2017,3.936000109,
Chad,2018,4.301,
Chad,2019,4.35,
Chad,2020,4.422699928,
Chile,2015,6.67,
Chile,2016,6.705,
Chile,2017,6.65199995,
Chile,2018,6.476,
Chile,2019,6.444,
Chile,2020,6.228499889,
China,2015,5.14,
China,2016,5.245,
China,2017,5.272999763,
China,2018,5.246,
China,2019,5.191,
China,2020,5.123899937,
Colombia,2015,6.477,
Colombia,2016,6.481,
Colombia,2017,6.356999874,
Colombia,2018,6.26,
Colombia,2019,6.125,
Colombia,2020,6.163400173,
Comoros,2015,3.956,
Comoros,2016,3.956,
Comoros,2017,0,
Comoros,2018,0,
Comoros,2019,3.973,
Comoros,2020,4.288599968,
Congo (Brazzaville),2015,3.989,
Congo (Brazzaville),2016,4.236,
Congo (Brazzaville),2017,4.290999889,
Congo (Brazzaville),2018,4.559,
Congo (Brazzaville),2019,4.812,
Congo (Brazzaville),2020,5.194399834,
Congo (Kinshasa),2015,4.517,
Congo (Kinshasa),2016,4.272,
Congo (Kinshasa),2017,4.28000021,
Congo (Kinshasa),2018,4.245,
Congo (Kinshasa),2019,4.418,
Congo (Kinshasa),2020,4.31099987,
Costa Rica,2015,7.226,
Costa Rica,2016,7.087,
Costa Rica,2017,7.078999996,
Costa Rica,2018,7.072,
Costa Rica,2019,7.167,
Costa Rica,2020,7.121399879,
Croatia,2015,5.759,
Croatia,2016,5.488,
Croatia,2017,5.293000221,
Croatia,2018,5.321,
Croatia,2019,5.432,
Croatia,2020,5.504700184,
Cyprus,2015,5.689,
Cyprus,2016,5.546,
Cyprus,2017,5.620999813,
Cyprus,2018,5.762,
Cyprus,2019,6.046,
Cyprus,2020,6.15899992,
Czech Republic,2015,6.505,
Czech Republic,2016,6.596,
Czech Republic,2017,6.609000206,
Czech Republic,2018,6.711,
Czech Republic,2019,6.852,
Czech Republic,2020,6.910900116,
Denmark,2015,7.527,
Denmark,2016,7.526,
Denmark,2017,7.521999836,
Denmark,2018,7.555,
Denmark,2019,7.6,
Denmark,2020,7.645599842,
Dominican Republic,2015,4.885,
Dominican Republic,2016,5.155,
Dominican Republic,2017,5.230000019,
Dominican Republic,2018,5.302,
Dominican Republic,2019,5.425,
Dominican Republic,2020,5.689199924,
Ecuador,2015,5.975,
Ecuador,2016,5.976,
Ecuador,2017,6.007999897,
Ecuador,2018,5.973,
Ecuador,2019,6.028,
Ecuador,2020,5.925199986,
Egypt,2015,4.194,
Egypt,2016,4.362,
Egypt,2017,4.735000134,
Egypt,2018,4.419,
Egypt,2019,4.166,
Egypt,2020,4.151400089,
El Salvador,2015,6.13,
El Salvador,2016,6.068,
El Salvador,2017,6.002999783,
El Salvador,2018,6.167,
El Salvador,2019,6.253,
El Salvador,2020,6.34829998,
Estonia,2015,5.429,
Estonia,2016,5.517,
Estonia,2017,5.611000061,
Estonia,2018,5.739,
Estonia,2019,5.893,
Estonia,2020,6.021800041,
Ethiopia,2015,4.512,
Ethiopia,2016,4.508,
Ethiopia,2017,4.460000038,
Ethiopia,2018,4.35,
Ethiopia,2019,4.286,
Ethiopia,2020,4.186200142,
Finland,2015,7.406,
Finland,2016,7.413,
Finland,2017,7.468999863,
Finland,2018,7.632,
Finland,2019,7.769,
Finland,2020,7.808700085,
France,2015,6.575,
France,2016,6.478,
France,2017,6.441999912,
France,2018,6.489,
France,2019,6.592,
France,2020,6.663799763,
Gabon,2015,3.896,
Gabon,2016,4.121,
Gabon,2017,4.465000153,
Gabon,2018,4.758,
Gabon,2019,4.799,
Gabon,2020,4.829299927,
Gambia,2015,0,
Gambia,2016,0,
Gambia,2017,0,
Gambia,2018,0,
Gambia,2019,4.516,
Gambia,2020,4.750599861,
Georgia,2015,4.297,
Georgia,2016,4.252,
Georgia,2017,4.285999775,
Georgia,2018,4.34,
Georgia,2019,4.519,
Georgia,2020,4.672599792,
Germany,2015,6.75,
Germany,2016,6.994,
Germany,2017,6.951000214,
Germany,2018,6.965,
Germany,2019,6.985,
Germany,2020,7.075799942,
Ghana,2015,4.633,
Ghana,2016,4.276,
Ghana,2017,4.119999886,
Ghana,2018,4.657,
Ghana,2019,4.996,
Ghana,2020,5.147999763,
Greece,2015,4.857,
Greece,2016,5.033,
Greece,2017,5.227000237,
Greece,2018,5.358,
Greece,2019,5.287,
Greece,2020,5.514999866,
Guatemala,2015,6.123,
Guatemala,2016,6.324,
Guatemala,2017,6.453999996,
Guatemala,2018,6.382,
Guatemala,2019,6.436,
Guatemala,2020,6.398900032,
Guinea,2015,3.656,
Guinea,2016,3.607,
Guinea,2017,3.506999969,
Guinea,2018,3.964,
Guinea,2019,4.534,
Guinea,2020,4.949299812,
Haiti,2015,4.518,
Haiti,2016,4.028,
Haiti,2017,3.602999926,
Haiti,2018,3.582,
Haiti,2019,3.597,
Haiti,2020,3.720799923,
Honduras,2015,4.788,
Honduras,2016,4.871,
Honduras,2017,5.181000233,
Honduras,2018,5.504,
Honduras,2019,5.86,
Honduras,2020,5.953199863,
Hungary,2015,4.8,
Hungary,2016,5.145,
Hungary,2017,5.323999882,
Hungary,2018,5.62,
Hungary,2019,5.758,
Hungary,2020,6.000400066,
Iceland,2015,7.561,
Iceland,2016,7.501,
Iceland,2017,7.504000187,
Iceland,2018,7.495,
Iceland,2019,7.494,
Iceland,2020,7.504499912,
India,2015,4.565,
India,2016,4.404,
India,2017,4.315000057,
India,2018,4.19,
India,2019,4.015,
India,2020,3.573299885,
Indonesia,2015,5.399,
Indonesia,2016,5.314,
Indonesia,2017,5.262000084,
Indonesia,2018,5.093,
Indonesia,2019,5.192,
Indonesia,2020,5.285600185,
Iran,2015,4.686,
Iran,2016,4.813,
Iran,2017,4.691999912,
Iran,2018,4.707,
Iran,2019,4.548,
Iran,2020,4.672399998,
Iraq,2015,4.677,
Iraq,2016,4.575,
Iraq,2017,4.497000217,
Iraq,2018,4.456,
Iraq,2019,4.437,
Iraq,2020,4.784800053,
Ireland,2015,6.94,
Ireland,2016,6.907,
Ireland,2017,6.977000237,
Ireland,2018,6.977,
Ireland,2019,7.021,
Ireland,2020,7.093699932,
Israel,2015,7.278,
Israel,2016,7.267,
Israel,2017,7.212999821,
Israel,2018,6.814,
Israel,2019,7.139,
Israel,2020,7.128600121,
Italy,2015,5.948,
Italy,2016,5.977,
Italy,2017,5.964000225,
Italy,2018,6,
Italy,2019,6.223,
Italy,2020,6.38740015,
Ivory Coast,2015,3.655,
Ivory Coast,2016,3.916,
Ivory Coast,2017,4.179999828,
Ivory Coast,2018,4.671,
Ivory Coast,2019,4.944,
Ivory Coast,2020,5.233300209,
Jamaica,2015,5.709,
Jamaica,2016,5.51,
Jamaica,2017,5.31099987,
Jamaica,2018,5.89,
Jamaica,2019,5.89,
Jamaica,2020,5.889800072,
Japan,2015,5.987,
Japan,2016,5.921,
Japan,2017,5.920000076,
Japan,2018,5.915,
Japan,2019,5.886,
Japan,2020,5.870800018,
Jordan,2015,5.192,
Jordan,2016,5.303,
Jordan,2017,5.335999966,
Jordan,2018,5.161,
Jordan,2019,4.906,
Jordan,2020,4.633399963,
Kazakhstan,2015,5.855,
Kazakhstan,2016,5.919,
Kazakhstan,2017,5.818999767,
Kazakhstan,2018,5.79,
Kazakhstan,2019,5.809,
Kazakhstan,2020,6.057899952,
Kenya,2015,4.419,
Kenya,2016,4.356,
Kenya,2017,4.552999973,
Kenya,2018,4.41,
Kenya,2019,4.509,
Kenya,2020,4.583000183,
Kosovo,2015,5.589,
Kosovo,2016,5.401,
Kosovo,2017,5.278999805,
Kosovo,2018,5.662,
Kosovo,2019,6.1,
Kosovo,2020,6.325200081,
Kuwait,2015,6.295,
Kuwait,2016,6.239,
Kuwait,2017,6.105000019,
Kuwait,2018,6.083,
Kuwait,2019,6.021,
Kuwait,2020,6.102099895,
Kyrgyzstan,2015,5.286,
Kyrgyzstan,2016,5.185,
Kyrgyzstan,2017,5.004000187,
Kyrgyzstan,2018,5.131,
Kyrgyzstan,2019,5.261,
Kyrgyzstan,2020,5.541500092,
Laos,2015,4.876,
Laos,2016,4.876,
Laos,2017,0,
Laos,2018,4.623,
Laos,2019,4.796,
Laos,2020,4.888599873,
Latvia,2015,5.098,
Latvia,2016,5.56,
Latvia,2017,5.849999905,
Latvia,2018,5.933,
Latvia,2019,5.94,
Latvia,2020,5.949999809,
Lebanon,2015,4.839,
Lebanon,2016,5.129,
Lebanon,2017,5.224999905,
Lebanon,2018,5.358,
Lebanon,2019,5.197,
Lebanon,2020,4.771500111,
Lesotho,2015,4.898,
Lesotho,2016,0,
Lesotho,2017,3.808000088,
Lesotho,2018,3.808,
Lesotho,2019,3.802,
Lesotho,2020,3.652800083,
Liberia,2015,4.571,
Liberia,2016,3.622,
Liberia,2017,3.532999992,
Liberia,2018,3.495,
Liberia,2019,3.975,
Liberia,2020,4.557899952,
Libya,2015,5.754,
Libya,2016,5.615,
Libya,2017,5.525000095,
Libya,2018,5.566,
Libya,2019,5.525,
Libya,2020,5.488800049,
Lithuania,2015,5.833,
Lithuania,2016,5.813,
Lithuania,2017,5.90199995,
Lithuania,2018,5.952,
Lithuania,2019,6.149,
Lithuania,2020,6.215499878,
Luxembourg,2015,6.946,
Luxembourg,2016,6.871,
Luxembourg,2017,6.862999916,
Luxembourg,2018,6.91,
Luxembourg,2019,7.09,
Luxembourg,2020,7.237500191,
Macedonia,2015,5.007,
Macedonia,2016,5.121,
Macedonia,2017,5.175000191,
Macedonia,2018,5.185,
Macedonia,2019,0,
Macedonia,2020,5.159800053,
Madagascar,2015,3.681,
Madagascar,2016,3.695,
Madagascar,2017,3.644000053,
Madagascar,2018,3.774,
Madagascar,2019,3.933,
Madagascar,2020,4.165599823,
Malawi,2015,4.292,
Malawi,2016,4.156,
Malawi,2017,3.970000029,
Malawi,2018,3.587,
Malawi,2019,3.41,
Malawi,2020,3.538000107,
Malaysia,2015,5.77,
Malaysia,2016,6.005,
Malaysia,2017,6.084000111,
Malaysia,2018,6.322,
Malaysia,2019,5.339,
Malaysia,2020,5.384300232,
Maldives,2015,0,
Maldives,2016,0,
Maldives,2017,0,
Maldives,2018,0,
Maldives,2019,0,
Maldives,2020,5.197599888,
Mali,2015,3.995,
Mali,2016,4.073,
Mali,2017,4.190000057,
Mali,2018,4.447,
Mali,2019,4.39,
Mali,2020,4.729300022,
Malta,2015,6.302,
Malta,2016,6.488,
Malta,2017,6.52699995,
Malta,2018,6.627,
Malta,2019,6.726,
Malta,2020,6.772799969,
Mauritania,2015,4.436,
Mauritania,2016,4.201,
Mauritania,2017,4.291999817,
Mauritania,2018,4.356,
Mauritania,2019,4.49,
Mauritania,2020,4.374599934,
Mauritius,2015,5.477,
Mauritius,2016,5.648,
Mauritius,2017,5.629000187,
Mauritius,2018,5.891,
Mauritius,2019,5.888,
Mauritius,2020,6.101299763,
Mexico,2015,7.187,
Mexico,2016,6.778,
Mexico,2017,6.578000069,
Mexico,2018,6.488,
Mexico,2019,6.595,
Mexico,2020,6.465000153,
Moldova,2015,5.889,
Moldova,2016,5.897,
Moldova,2017,5.837999821,
Moldova,2018,5.64,
Moldova,2019,5.529,
Moldova,2020,5.607500076,
Mongolia,2015,4.874,
Mongolia,2016,4.907,
Mongolia,2017,4.954999924,
Mongolia,2018,5.125,
Mongolia,2019,5.285,
Mongolia,2020,5.456200123,
Montenegro,2015,5.192,
Montenegro,2016,5.161,
Montenegro,2017,5.236999989,
Montenegro,2018,5.347,
Montenegro,2019,5.523,
Montenegro,2020,5.54610014,
Morocco,2015,5.013,
Morocco,2016,5.151,
Morocco,2017,5.235000134,
Morocco,2018,5.254,
Morocco,2019,5.208,
Morocco,2020,5.094799995,
Mozambique,2015,4.971,
Mozambique,2016,0,
Mozambique,2017,4.550000191,
Mozambique,2018,4.417,
Mozambique,2019,4.466,
Mozambique,2020,4.623600006,
Myanmar,2015,4.307,
Myanmar,2016,4.395,
Myanmar,2017,4.545000076,
Myanmar,2018,4.308,
Myanmar,2019,4.36,
Myanmar,2020,4.308000088,
Namibia,2015,0,
Namibia,2016,4.574,
Namibia,2017,4.573999882,
Namibia,2018,4.441,
Namibia,2019,4.639,
Namibia,2020,4.571100235,
Nepal,2015,4.514,
Nepal,2016,4.793,
Nepal,2017,4.961999893,
Nepal,2018,4.88,
Nepal,2019,4.913,
Nepal,2020,5.137199879,
Netherlands,2015,7.378,
Netherlands,2016,7.339,
Netherlands,2017,7.376999855,
Netherlands,2018,7.441,
Netherlands,2019,7.488,
Netherlands,2020,7.448900223,
New Zealand,2015,7.286,
New Zealand,2016,7.334,
New Zealand,2017,7.31400013,
New Zealand,2018,7.324,
New Zealand,2019,7.307,
New Zealand,2020,7.299600124,
Nicaragua,2015,5.828,
Nicaragua,2016,5.992,
Nicaragua,2017,6.071000099,
Nicaragua,2018,6.141,
Nicaragua,2019,6.105,
Nicaragua,2020,6.13710022,
Niger,2015,3.845,
Niger,2016,3.856,
Niger,2017,4.027999878,
Niger,2018,4.166,
Niger,2019,4.628,
Niger,2020,4.909599781,
Nigeria,2015,5.268,
Nigeria,2016,4.875,
Nigeria,2017,5.073999882,
Nigeria,2018,5.155,
Nigeria,2019,5.265,
Nigeria,2020,4.724100113,
Northern Cyprus,2015,5.695,
Northern Cyprus,2016,5.771,
Northern Cyprus,2017,5.809999943,
Northern Cyprus,2018,0,
Northern Cyprus,2019,0,
Northern Cyprus,2020,5.53550005,
Norway,2015,7.522,
Norway,2016,7.498,
Norway,2017,7.537000179,
Norway,2018,7.594,
Norway,2019,7.554,
Norway,2020,7.487999916,
Pakistan,2015,5.194,
Pakistan,2016,5.132,
Pakistan,2017,5.269000053,
Pakistan,2018,5.472,
Pakistan,2019,5.653,
Pakistan,2020,5.69329977,
Palestinian Territories,2015,4.715,
Palestinian Territories,2016,4.754,
Palestinian Territories,2017,4.775000095,
Palestinian Territories,2018,4.743,
Palestinian Territories,2019,4.696,
Palestinian Territories,2020,4.552800179,
Panama,2015,6.786,
Panama,2016,6.701,
Panama,2017,6.452000141,
Panama,2018,6.43,
Panama,2019,6.321,
Panama,2020,6.304800034,
Paraguay,2015,5.878,
Paraguay,2016,5.538,
Paraguay,2017,5.493000031,
Paraguay,2018,5.681,
Paraguay,2019,5.743,
Paraguay,2020,5.692100048,
Peru,2015,5.824,
Peru,2016,5.743,
Peru,2017,5.715000153,
Peru,2018,5.663,
Peru,2019,5.697,
Peru,2020,5.796800137,
Philippines,2015,5.073,
Philippines,2016,5.279,
Philippines,2017,5.429999828,
Philippines,2018,5.524,
Philippines,2019,5.631,
Philippines,2020,6.006000042,
Poland,2015,5.791,
Poland,2016,5.835,
Poland,2017,5.97300005,
Poland,2018,6.123,
Poland,2019,6.182,
Poland,2020,6.186299801,
Portugal,2015,5.102,
Portugal,2016,5.123,
Portugal,2017,5.195000172,
Portugal,2018,5.41,
Portugal,2019,5.693,
Portugal,2020,5.910900116,
Romania,2015,5.124,
Romania,2016,5.528,
Romania,2017,5.824999809,
Romania,2018,5.945,
Romania,2019,6.07,
Romania,2020,6.123700142,
Russia,2015,5.716,
Russia,2016,5.856,
Russia,2017,5.962999821,
Russia,2018,5.81,
Russia,2019,5.648,
Russia,2020,5.546000004,
Rwanda,2015,3.465,
Rwanda,2016,3.515,
Rwanda,2017,3.470999956,
Rwanda,2018,3.408,
Rwanda,2019,3.334,
Rwanda,2020,3.312299967,
Saudi Arabia,2015,6.411,
Saudi Arabia,2016,6.379,
Saudi Arabia,2017,6.343999863,
Saudi Arabia,2018,6.371,
Saudi Arabia,2019,6.375,
Saudi Arabia,2020,6.406499863,
Senegal,2015,3.904,
Senegal,2016,4.219,
Senegal,2017,4.534999847,
Senegal,2018,4.631,
Senegal,2019,4.681,
Senegal,2020,4.980800152,
Serbia,2015,5.123,
Serbia,2016,5.177,
Serbia,2017,5.394999981,
Serbia,2018,5.398,
Serbia,2019,5.603,
Serbia,2020,5.77820015,
Sierra Leone,2015,4.507,
Sierra Leone,2016,4.635,
Sierra Leone,2017,4.709000111,
Sierra Leone,2018,4.571,
Sierra Leone,2019,4.374,
Sierra Leone,2020,3.926399946,
Singapore,2015,6.798,
Singapore,2016,6.739,
Singapore,2017,6.572000027,
Singapore,2018,6.343,
Singapore,2019,6.262,
Singapore,2020,6.377099991,
Slovakia,2015,5.995,
Slovakia,2016,6.078,
Slovakia,2017,6.09800005,
Slovakia,2018,6.173,
Slovakia,2019,6.198,
Slovakia,2020,6.280600071,
Slovenia,2015,5.848,
Slovenia,2016,5.768,
Slovenia,2017,5.757999897,
Slovenia,2018,5.948,
Slovenia,2019,6.118,
Slovenia,2020,6.363399982,
South Africa,2015,4.642,
South Africa,2016,4.459,
South Africa,2017,4.828999996,
South Africa,2018,4.724,
South Africa,2019,4.722,
South Africa,2020,4.814099789,
South Korea,2015,5.984,
South Korea,2016,5.835,
South Korea,2017,5.837999821,
South Korea,2018,5.875,
South Korea,2019,5.895,
South Korea,2020,5.872399807,
South Sudan,2015,0,
South Sudan,2016,3.832,
South Sudan,2017,3.59100008,
South Sudan,2018,3.254,
South Sudan,2019,2.853,
South Sudan,2020,2.816600084,
Spain,2015,6.329,
Spain,2016,6.361,
Spain,2017,6.402999878,
Spain,2018,6.31,
Spain,2019,6.354,
Spain,2020,6.400899887,
Sri Lanka,2015,4.271,
Sri Lanka,2016,4.415,
Sri Lanka,2017,4.440000057,
Sri Lanka,2018,4.471,
Sri Lanka,2019,4.366,
Sri Lanka,2020,4.327000141,
Swaziland,2015,4.867,
Swaziland,2016,0,
Swaziland,2017,0,
Swaziland,2018,0,
Swaziland,2019,4.212,
Swaziland,2020,4.308100224,
Sweden,2015,7.364,
Sweden,2016,7.291,
Sweden,2017,7.28399992,
Sweden,2018,7.314,
Sweden,2019,7.343,
Sweden,2020,7.353499889,
Switzerland,2015,7.587,
Switzerland,2016,7.509,
Switzerland,2017,7.493999958,
Switzerland,2018,7.487,
Switzerland,2019,7.48,
Switzerland,2020,7.559899807,
Tajikistan,2015,4.786,
Tajikistan,2016,4.996,
Tajikistan,2017,5.040999889,
Tajikistan,2018,5.199,
Tajikistan,2019,5.467,
Tajikistan,2020,5.555699825,
Tanzania,2015,3.781,
Tanzania,2016,3.666,
Tanzania,2017,3.348999977,
Tanzania,2018,3.303,
Tanzania,2019,3.231,
Tanzania,2020,3.476200104,
Thailand,2015,6.455,
Thailand,2016,6.474,
Thailand,2017,6.423999786,
Thailand,2018,6.072,
Thailand,2019,6.008,
Thailand,2020,5.998799801,
Togo,2015,2.839,
Togo,2016,3.303,
Togo,2017,3.494999886,
Togo,2018,3.999,
Togo,2019,4.085,
Togo,2020,4.187200069,
Trinidad and Tobago,2015,6.168,
Trinidad and Tobago,2016,6.168,
Trinidad and Tobago,2017,6.168000221,
Trinidad and Tobago,2018,0,
Trinidad and Tobago,2019,0,
Trinidad and Tobago,2020,6.191899776,
Tunisia,2015,4.739,
Tunisia,2016,5.045,
Tunisia,2017,4.804999828,
Tunisia,2018,4.592,
Tunisia,2019,4.461,
Tunisia,2020,4.392199993,
Turkey,2015,5.332,
Turkey,2016,5.389,
Turkey,2017,5.5,
Turkey,2018,5.483,
Turkey,2019,5.373,
Turkey,2020,5.131800175,
Turkmenistan,2015,5.548,
Turkmenistan,2016,5.658,
Turkmenistan,2017,5.822000027,
Turkmenistan,2018,5.636,
Turkmenistan,2019,5.247,
Turkmenistan,2020,5.119100094,
Uganda,2015,3.931,
Uganda,2016,3.739,
Uganda,2017,4.080999851,
Uganda,2018,4.161,
Uganda,2019,4.189,
Uganda,2020,4.43200016,
Ukraine,2015,4.681,
Ukraine,2016,4.324,
Ukraine,2017,4.096000195,
Ukraine,2018,4.103,
Ukraine,2019,4.332,
Ukraine,2020,4.56069994,
United Arab Emirates,2015,6.901,
United Arab Emirates,2016,6.573,
United Arab Emirates,2017,6.647999763,
United Arab Emirates,2018,6.774,
United Arab Emirates,2019,6.825,
United Arab Emirates,2020,6.790800095,
United Kingdom,2015,6.867,
United Kingdom,2016,6.725,
United Kingdom,2017,6.714000225,
United Kingdom,2018,7.19,
United Kingdom,2019,7.054,
United Kingdom,2020,7.164500237,
United States,2015,7.119,
United States,2016,7.104,
United States,2017,6.993000031,
United States,2018,6.886,
United States,2019,6.892,
United States,2020,6.939599991,
Uruguay,2015,6.485,
Uruguay,2016,6.545,
Uruguay,2017,6.453999996,
Uruguay,2018,6.379,
Uruguay,2019,6.293,
Uruguay,2020,6.440100193,
Uzbekistan,2015,6.003,
Uzbekistan,2016,5.987,
Uzbekistan,2017,5.971000195,
Uzbekistan,2018,6.096,
Uzbekistan,2019,6.174,
Uzbekistan,2020,6.257599831,
Venezuela,2015,6.81,
Venezuela,2016,6.084,
Venezuela,2017,5.25,
Venezuela,2018,4.806,
Venezuela,2019,4.707,
Venezuela,2020,5.053199768,
Vietnam,2015,5.36,
Vietnam,2016,5.061,
Vietnam,2017,5.073999882,
Vietnam,2018,5.103,
Vietnam,2019,5.175,
Vietnam,2020,5.353499889,
Yemen,2015,4.077,
Yemen,2016,3.724,
Yemen,2017,3.592999935,
Yemen,2018,3.355,
Yemen,2019,3.38,
Yemen,2020,3.527400017,
Zambia,2015,5.129,
Zambia,2016,4.795,
Zambia,2017,4.513999939,
Zambia,2018,4.377,
Zambia,2019,4.107,
Zambia,2020,3.759399891,
Zimbabwe,2015,4.61,
Zimbabwe,2016,4.193,
Zimbabwe,2017,3.875,
Zimbabwe,2018,3.692,
Zimbabwe,2019,3.663,
Zimbabwe,2020,3.299200058,