Country,Year,Rank,,,,,
Finland,2015,6,,,,,
Denmark,2015,3,,,,,
Switzerland,2015,1,,,,,
Iceland,2015,2,,,,,
Norway,2015,4,,,,,
Netherlands,2015,7,,,,,
Sweden,2015,8,,,,,
New Zealand,2015,9,,,,,
Austria,2015,13,,,,,
Luxembourg,2015,17,,,,,
Canada,2015,5,,,,,
Australia,2015,10,,,,,
United Kingdom,2015,22,,,,,
Israel,2015,11,,,,,
Costa Rica,2015,12,,,,,
Ireland,2015,18,,,,,
Germany,2015,26,,,,,
United States,2015,15,,,,,
Czech Republic,2015,31,,,,,
Belgium,2015,19,,,,,
Finland,2016,5,,,,,
Denmark,2016,1,,,,,
Switzerland,2016,2,,,,,
Iceland,2016,3,,,,,
Norway,2016,4,,,,,
Netherlands,2016,7,,,,,
Sweden,2016,10,,,,,
New Zealand,2016,8,,,,,
Austria,2016,12,,,,,
Luxembourg,2016,20,,,,,
Canada,2016,6,,,,,
Australia,2016,12,,,,,
United Kingdom,2016,23,,,,,
Israel,2016,11,,,,,
Costa Rica,2016,14,,,,,
Ireland,2016,19,,,,,
Germany,2016,16,,,,,
United States,2016,13,,,,,
Czech Republic,2016,27,,,,,
Belgium,2016,18,,,,,
Finland,2017,5,,,,,
Denmark,2017,2,,,,,
Switzerland,2017,4,,,,,
Iceland,2017,3,,,,,
Norway,2017,1,,,,,
Netherlands,2017,6,,,,,
Sweden,2017,9,,,,,
New Zealand,2017,8,,,,,
Austria,2017,13,,,,,
Luxembourg,2017,18,,,,,
Canada,2017,7,,,,,
Australia,2017,10,,,,,
United Kingdom,2017,19,,,,,
Israel,2017,11,,,,,
Costa Rica,2017,12,,,,,
Ireland,2017,15,,,,,
Germany,2017,16,,,,,
United States,2017,14,,,,,
Czech Republic,2017,23,,,,,
Belgium,2017,17,,,,,
Finland,2018,1,,,,,
Denmark,2018,3,,,,,
Switzerland,2018,5,,,,,
Iceland,2018,4,,,,,
Norway,2018,2,,,,,
Netherlands,2018,6,,,,,
Sweden,2018,9,,,,,
New Zealand,2018,8,,,,,
Austria,2018,12,,,,,
Luxembourg,2018,17,,,,,
Canada,2018,7,,,,,
Australia,2018,10,,,,,
United Kingdom,2018,11,,,,,
Israel,2018,19,,,,,
Costa Rica,2018,13,,,,,
Ireland,2018,14,,,,,
Germany,2018,15,,,,,
United States,2018,18,,,,,
Czech Republic,2018,21,,,,,
Belgium,2018,16,,,,,
Finland,2019,1,,,,,
Denmark,2019,2,,,,,
Switzerland,2019,6,,,,,
Iceland,2019,4,,,,,
Norway,2019,3,,,,,
Netherlands,2019,5,,,,,
Sweden,2019,7,,,,,
New Zealand,2019,8,,,,,
Austria,2019,10,,,,,
Luxembourg,2019,14,,,,,
Canada,2019,9,,,,,
Australia,2019,11,,,,,
United Kingdom,2019,15,,,,,
Israel,2019,13,,,,,
Costa Rica,2019,12,,,,,
Ireland,2019,16,,,,,
Germany,2019,17,,,,,
United States,2019,19,,,,,
Czech Republic,2019,20,,,,,
Belgium,2019,18,,,,,
Finland,2020,1,,,,,
Denmark,2020,2,,,,,
Switzerland,2020,3,,,,,
Iceland,2020,4,,,,,
Norway,2020,5,,,,,
Netherlands,2020,6,,,,,
Sweden,2020,7,,,,,
New Zealand,2020,8,,,,,
Austria,2020,9,,,,,
Luxembourg,2020,10,,,,,
Canada,2020,11,,,,,
Australia,2020,12,,,,,
United Kingdom,2020,13,,,,,
Israel,2020,14,,,,,
Costa Rica,2020,15,,,,,
Ireland,2020,16,,,,,
Germany,2020,17,,,,,
United States,2020,18,,,,,
Czech Republic,2020,19,,,,,
Belgium,2020,20,,,,,